CustomerID,Recency,Frequency,Monetary,R_quintile,F_quintile,M_quintile,Segment
12497,81,3,6248.5,3,3,5,一般活躍
12498,20,3,403.70000000000005,4,3,2,一般活躍
12499,559,1,393.72,1,1,2,一般流失
12500,22,19,5955.21,4,5,5,活躍 VIP
12501,336,1,2169.39,2,1,4,一般流失
12502,95,5,3723.87,3,4,5,沈睡 VIP
12503,583,1,1126.0,1,1,3,一般流失
12504,17,4,779.05,5,3,3,一般活躍
12505,408,1,955.2,2,1,3,一般流失
12506,232,1,73.5,2,1,1,一般流失
12507,133,4,1844.06,3,3,4,一般流失
12508,25,2,398.27,4,2,2,潛力新客
12509,283,1,176.5,2,1,1,一般流失
12510,142,9,5178.02,3,5,5,沈睡 VIP
12511,428,1,3084.02,1,1,5,一般流失
12512,65,2,138.03,3,2,1,潛力新客
12513,112,1,612.29,3,1,2,一般流失
12514,266,2,1597.76,2,2,4,一般流失
12515,352,1,383.7,2,1,2,一般流失
12516,77,4,2648.62,3,3,4,一般活躍
12517,27,5,2502.84,4,4,4,活躍 VIP
12518,0,5,2056.89,5,4,4,活躍 VIP
12519,63,2,726.54,3,2,3,潛力新客
12520,78,5,2634.26,3,4,4,活躍 VIP
12521,142,1,599.68,3,1,2,一般流失
12522,38,2,192.72,4,2,1,潛力新客
12523,18,23,4372.15,5,5,5,活躍 VIP
12524,8,17,11126.11,5,5,5,活躍 VIP
12525,497,3,973.73,1,3,3,一般流失
12526,0,3,1316.66,5,3,4,一般活躍
12527,81,5,735.51,3,4,3,一般活躍
12528,8,6,1933.48,5,4,4,活躍 VIP
12529,527,1,316.48,1,1,2,一般流失
12530,59,9,3759.26,3,5,5,活躍 VIP
12531,14,2,1933.2,5,2,4,一般活躍
12532,29,1,349.83000000000004,4,1,2,潛力新客
12533,627,2,1367.89,1,2,4,一般流失
12534,130,1,1089.18,3,1,3,一般流失
12535,91,2,716.35,3,2,3,一般流失
12536,42,3,12601.830000000002,4,3,5,一般活躍
12537,408,1,732.94,2,1,3,一般流失
12538,28,2,640.45,4,2,3,潛力新客
12539,21,7,11214.75,4,4,5,活躍 VIP
12540,19,33,22254.49,4,5,5,活躍 VIP
12541,29,3,981.18,4,3,3,一般活躍
12542,483,2,481.88,1,2,2,一般流失
12543,447,1,980.25,1,1,3,一般流失
12544,35,1,372.7,4,1,2,潛力新客
12545,74,2,1000.39,3,2,3,潛力新客
12546,46,2,1161.5,4,2,3,潛力新客
12547,197,3,383.58,2,3,2,一般流失
12548,165,1,95.19999999999999,3,1,1,一般流失
12549,575,6,1575.68,1,4,4,沈睡 VIP
12550,78,1,964.83,3,1,3,潛力新客
12551,357,1,168.0,2,1,1,一般流失
12552,38,2,437.82,4,2,2,潛力新客
12553,7,12,4608.75,5,5,5,活躍 VIP
12554,448,1,468.5,1,1,2,一般流失
12555,681,1,129.23,1,1,1,一般流失
12556,49,2,603.71,4,2,2,潛力新客
12557,15,8,18716.14,5,4,5,活躍 VIP
12558,7,1,269.96,5,1,1,潛力新客
12559,310,2,561.71,2,2,2,一般流失
12560,4,3,2134.01,5,3,4,一般活躍
12561,302,1,238.85,2,1,1,一般流失
12562,7,9,4966.92,5,5,5,活躍 VIP
12563,408,1,249.24,2,1,1,一般流失
12564,260,1,456.9,2,1,2,一般流失
12565,288,1,145.92,2,1,1,一般流失
12566,85,1,351.65,3,1,2,潛力新客
12567,22,15,13709.86,4,5,5,活躍 VIP
12568,644,1,70.0,1,1,1,一般流失
12569,1,32,4124.69,5,5,5,活躍 VIP
12570,681,1,77.52,1,1,1,一般流失
12571,39,2,519.61,4,2,2,潛力新客
12572,8,2,1020.42,5,2,3,潛力新客
12573,226,5,717.41,2,4,3,一般流失
12574,315,1,218.45,2,1,1,一般流失
12575,456,2,622.8199999999999,1,2,3,一般流失
12576,35,8,2142.72,4,4,4,活躍 VIP
12577,34,8,1653.75,4,4,4,活躍 VIP
12578,20,4,4642.45,4,3,5,一般活躍
12579,77,1,440.42,3,1,2,潛力新客
12580,246,2,1052.9,2,2,3,一般流失
12581,39,1,197.71,4,1,1,潛力新客
12582,238,4,1980.4,2,3,4,一般流失
12583,2,27,14447.44,5,5,5,活躍 VIP
12584,3,9,2338.15,5,5,4,活躍 VIP
12585,233,2,2040.1,2,2,4,一般流失
12586,16,4,2062.67,5,3,4,一般活躍
12587,7,1,144.0,5,1,1,潛力新客
12588,38,4,958.78,4,3,3,一般活躍
12589,28,8,4695.66,4,4,5,活躍 VIP
12590,210,2,9864.26,2,2,5,一般流失
12591,316,3,1352.15,2,3,4,一般流失
12592,91,5,2582.66,3,4,4,沈睡 VIP
12593,108,3,418.09999999999997,3,3,2,一般流失
12594,37,15,5090.110000000001,4,5,5,活躍 VIP
12595,504,1,299.02,1,1,2,一般流失
12596,50,2,618.27,4,2,3,潛力新客
12597,18,4,3811.22,5,3,5,一般活躍
12598,9,11,4534.09,5,5,5,活躍 VIP
12599,28,13,2296.72,4,5,4,活躍 VIP
12600,28,21,5043.92,4,5,5,活躍 VIP
12601,189,6,681.26,2,4,3,一般流失
12602,58,1,153.12,4,1,1,潛力新客
12603,21,1,739.1999999999999,4,1,3,潛力新客
12604,78,2,254.18,3,2,1,潛力新客
12605,375,4,1232.95,2,3,3,一般流失
12606,681,1,21.0,1,1,1,一般流失
12607,59,1,1579.51,3,1,4,一般活躍
12608,404,1,415.79,2,1,2,一般流失
12609,77,9,3435.86,3,5,5,活躍 VIP
12610,22,5,2099.54,4,4,4,活躍 VIP
12611,51,1,1193.32,4,1,3,潛力新客
12612,73,1,704.0400000000001,3,1,3,潛力新客
12613,56,10,6835.07,4,5,5,活躍 VIP
12614,277,1,315.6,2,1,2,一般流失
12615,1,8,5740.98,5,4,5,活躍 VIP
12616,94,3,1131.1,3,3,3,一般流失
12617,28,1,355.53,4,1,2,潛力新客
12618,21,1,177.31,4,1,1,潛力新客
12619,15,10,3781.38,5,5,5,活躍 VIP
12620,14,3,1339.41,5,3,4,一般活躍
12621,1,35,24775.81,5,5,5,活躍 VIP
12622,231,1,180.1,2,1,1,一般流失
12623,275,7,3747.84,2,4,5,沈睡 VIP
12624,105,2,641.13,3,2,3,一般流失
12625,211,4,5164.88,2,3,5,一般流失
12626,22,9,6620.48,4,5,5,活躍 VIP
12627,10,7,4478.53,5,4,5,活躍 VIP
12628,3,3,786.46,5,3,3,一般活躍
12629,385,2,1558.22,2,2,4,一般流失
12630,9,2,1270.88,5,2,4,一般活躍
12631,56,6,3481.57,4,4,5,活躍 VIP
12632,520,2,804.88,1,2,3,一般流失
12633,58,7,5678.16,4,4,5,活躍 VIP
12634,535,2,490.0,1,2,2,一般流失
12635,89,4,2930.41,3,3,4,一般活躍
12636,738,1,141.0,1,1,1,一般流失
12637,66,12,8340.31,3,5,5,活躍 VIP
12638,32,2,921.49,4,2,3,潛力新客
12639,238,3,1312.37,2,3,4,一般流失
12640,23,3,1174.58,4,3,3,一般活躍
12641,114,1,185.9,3,1,1,一般流失
12642,24,3,1013.26,4,3,3,一般活躍
12643,127,12,8350.42,3,5,5,沈睡 VIP
12644,129,4,1918.49,3,3,4,一般流失
12645,33,8,3539.3,4,4,5,活躍 VIP
12646,4,2,1346.97,5,2,4,一般活躍
12647,21,36,17924.35,4,5,5,活躍 VIP
12648,154,4,1112.0,3,3,3,一般流失
12649,106,8,2294.65,3,4,4,沈睡 VIP
12650,2,1,314.44,5,1,2,潛力新客
12651,334,4,377.75,2,3,2,一般流失
12652,330,2,1017.03,2,2,3,一般流失
12653,148,3,4160.83,3,3,5,一般流失
12654,10,5,601.98,5,4,2,一般活躍
12655,423,1,261.35,1,1,1,一般流失
12656,16,8,6407.83,5,4,5,活躍 VIP
12657,10,4,1643.18,5,3,4,一般活躍
12658,18,1,686.05,5,1,3,潛力新客
12659,29,1,91.68,4,1,1,潛力新客
12660,10,1,245.1,5,1,1,潛力新客
12661,435,1,162.0,1,1,1,一般流失
12662,0,20,6988.02,5,5,5,活躍 VIP
12663,624,2,239.4,1,2,1,一般流失
12664,7,11,6070.04,5,5,5,活躍 VIP
12665,324,3,313.6,2,3,2,一般流失
12666,393,1,1248.42,2,1,4,一般流失
12667,57,1,620.13,4,1,3,潛力新客
12668,11,10,11444.68,5,5,5,活躍 VIP
12669,150,3,2744.0299999999997,3,3,4,一般流失
12670,9,7,3760.29,5,4,5,活躍 VIP
12671,605,1,2622.481,1,1,4,一般流失
12672,329,2,437.05,2,2,2,一般流失
12673,4,3,1230.02,5,3,3,一般活躍
12674,38,4,1970.6,4,3,4,一般活躍
12675,553,2,958.5,1,2,3,一般流失
12676,24,11,2843.09,4,5,4,活躍 VIP
12677,554,2,395.1,1,2,2,一般流失
12678,41,21,34281.18,4,5,5,活躍 VIP
12679,58,4,1113.02,4,3,3,一般活躍
12680,0,4,880.81,5,3,3,一般活躍
12681,14,45,30868.28,5,5,5,活躍 VIP
12682,3,52,24033.91,5,5,5,活躍 VIP
12683,3,21,12696.78,5,5,5,活躍 VIP
12684,7,7,2283.63,5,4,4,活躍 VIP
12685,27,6,2863.08,4,4,4,活躍 VIP
12686,371,1,178.28,2,1,1,一般流失
12687,480,2,2138.91,1,2,4,一般流失
12688,113,1,4873.8099999999995,3,1,5,一般流失
12689,25,2,1247.61,4,2,3,潛力新客
12690,205,1,389.01,2,1,2,一般流失
12691,27,7,1170.4,4,4,3,一般活躍
12692,636,1,110.95,1,1,1,一般流失
12693,126,7,1703.02,3,4,4,沈睡 VIP
12694,69,3,1843.35,3,3,4,一般活躍
12695,6,7,1407.1200000000001,5,4,4,活躍 VIP
12696,434,2,851.91,1,2,3,一般流失
12697,28,3,957.59,4,3,3,一般活躍
12698,589,1,339.75,1,1,2,一般流失
12699,417,1,638.11,1,1,3,一般流失
12700,7,4,4939.99,5,3,5,一般活躍
12701,79,6,2446.41,3,4,4,活躍 VIP
12702,19,1,219.0,4,1,1,潛力新客
12703,70,4,1006.53,3,3,3,一般活躍
12704,6,8,2340.84,5,4,4,活躍 VIP
12705,14,14,11762.1,5,5,5,活躍 VIP
12707,291,1,603.42,2,1,2,一般流失
12708,29,18,5314.1,4,5,5,活躍 VIP
12709,14,34,31093.34,5,5,5,活躍 VIP
12710,96,3,1149.02,3,3,3,一般流失
12711,611,2,1339.05,1,2,4,一般流失
12712,28,21,7193.66,4,5,5,活躍 VIP
12713,0,1,848.55,5,1,3,潛力新客
12714,8,12,14093.71,5,5,5,活躍 VIP
12715,105,1,353.86,3,1,2,一般流失
12716,3,2,1053.49,5,2,3,潛力新客
12717,150,3,1308.91,3,3,4,一般流失
12718,70,1,238.25,3,1,1,潛力新客
12719,4,2,644.95,5,2,3,潛力新客
12720,2,30,8260.67,5,5,5,活躍 VIP
12721,31,8,4013.08,4,4,5,活躍 VIP
12722,84,4,997.63,3,3,3,一般活躍
12723,3,5,725.07,5,4,3,一般活躍
12724,4,7,2317.52,5,4,4,活躍 VIP
12725,370,4,2694.56,2,3,4,一般流失
12726,27,11,4014.6,4,5,5,活躍 VIP
12727,10,10,5679.53,5,5,5,活躍 VIP
12728,70,5,1070.17,3,4,3,一般活躍
12729,113,1,453.01,3,1,2,一般流失
12730,521,1,829.25,1,1,3,一般流失
12731,23,17,25775.71,4,5,5,活躍 VIP
12732,179,1,236.26000000000002,3,1,1,一般流失
12733,233,4,2424.87,2,3,4,一般流失
12734,352,3,639.65,2,3,3,一般流失
12735,314,2,779.5699999999999,2,2,3,一般流失
12736,332,1,234.0,2,1,1,一般流失
12737,498,2,3710.5,1,2,5,一般流失
12738,371,1,310.7,2,1,2,一般流失
12739,77,4,2726.73,3,3,4,一般活躍
12740,63,1,427.6,3,1,2,潛力新客
12741,528,2,406.07,1,2,2,一般流失
12742,625,1,1201.52,1,1,3,一般流失
12743,133,2,546.43,3,2,2,一般流失
12744,51,11,25317.06,4,5,5,活躍 VIP
12745,486,3,925.41,1,3,3,一般流失
12746,540,1,254.55,1,1,1,一般流失
12747,1,26,9276.539999999999,5,5,5,活躍 VIP
12748,0,336,56599.39,5,5,5,活躍 VIP
12749,3,9,6897.36,5,5,5,活躍 VIP
12750,128,1,275.88,3,1,1,一般流失
12751,444,1,268.27,1,1,1,一般流失
12752,80,1,4366.78,3,1,5,一般活躍
12753,22,6,21429.39,4,4,5,活躍 VIP
12754,235,3,3010.74,2,3,5,一般流失
12755,280,11,9030.66,2,5,5,沈睡 VIP
12756,86,1,112.07999999999998,3,1,1,潛力新客
12757,15,13,7857.1,5,5,5,活躍 VIP
12758,116,7,9903.24,3,4,5,沈睡 VIP
12759,51,8,5020.74,4,4,5,活躍 VIP
12760,455,1,347.8,1,1,2,一般流失
12761,457,2,782.95,1,2,3,一般流失
12762,7,2,1898.52,5,2,4,一般活躍
12763,137,2,814.16,3,2,3,一般流失
12764,316,1,1693.88,2,1,4,一般流失
12765,471,6,1404.58,1,4,4,沈睡 VIP
12766,3,9,10068.28,5,5,5,活躍 VIP
12767,375,1,949.82,2,1,3,一般流失
12768,450,1,168.69000000000003,1,1,1,一般流失
12769,238,1,1143.6,2,1,3,一般流失
12770,210,2,3246.45,2,2,5,一般流失
12771,485,1,282.3,1,1,1,一般流失
12772,59,1,892.47,3,1,3,潛力新客
12773,563,1,124.25,1,1,1,一般流失
12774,535,1,98.7,1,1,1,一般流失
12775,16,7,1686.12,5,4,4,活躍 VIP
12776,667,1,55.5,1,1,1,一般流失
12777,457,1,519.45,1,1,2,一般流失
12778,19,9,1775.68,4,5,4,活躍 VIP
12779,37,14,6722.2699999999995,4,5,5,活躍 VIP
12780,598,1,337.4,1,1,2,一般流失
12781,63,2,826.74,3,2,3,潛力新客
12782,4,11,4618.24,5,5,5,活躍 VIP
12783,1,6,2225.91,5,4,4,活躍 VIP
12784,8,3,1804.75,5,3,4,一般活躍
12785,363,3,1100.4,2,3,3,一般流失
12786,609,1,728.5,1,1,3,一般流失
12787,9,4,862.18,5,3,3,一般活躍
12788,462,4,444.9,1,3,2,一般流失
12789,64,3,273.35,3,3,1,一般活躍
12790,191,2,591.85,2,2,2,一般流失
12791,373,6,1056.1100000000001,2,4,3,一般流失
12792,256,2,827.01,2,2,3,一般流失
12793,334,3,1017.33,2,3,3,一般流失
12794,52,2,860.41,4,2,3,潛力新客
12795,18,1,430.48,5,1,2,潛力新客
12796,627,1,381.0,1,1,2,一般流失
12797,365,2,806.11,2,2,3,一般流失
12798,9,4,8510.93,5,3,5,一般活躍
12799,528,1,219.35,1,1,1,一般流失
12800,469,3,584.25,1,3,2,一般流失
12801,500,1,1071.82,1,1,3,一般流失
12802,186,7,2416.42,3,4,4,沈睡 VIP
12803,392,1,1092.81,2,1,3,一般流失
12804,465,2,327.02,1,2,2,一般流失
12805,381,4,1434.95,2,3,4,一般流失
12806,434,4,2878.96,1,3,4,一般流失
12807,382,1,330.35,2,1,2,一般流失
12808,36,5,906.1,4,4,3,一般活躍
12809,177,3,1755.94,3,3,4,一般流失
12810,534,2,534.99,1,2,2,一般流失
12811,260,5,1033.9,2,4,3,一般流失
12812,44,1,229.64000000000001,4,1,1,潛力新客
12813,501,3,1687.8,1,3,4,一般流失
12814,101,1,125.92,3,1,1,一般流失
12815,147,2,1063.46,3,2,3,一般流失
12816,95,2,572.2,3,2,2,一般流失
12817,280,3,690.98,2,3,3,一般流失
12818,261,1,1542.08,2,1,4,一般流失
12819,457,1,540.52,1,1,2,一般流失
12820,2,11,2689.52,5,5,4,活躍 VIP
12821,213,2,220.8,2,2,1,一般流失
12822,70,2,948.88,3,2,3,潛力新客
12823,74,18,6501.5,3,5,5,活躍 VIP
12824,59,1,397.12,3,1,2,潛力新客
12825,520,2,518.63,1,2,2,一般流失
12826,2,12,2955.75,5,5,4,活躍 VIP
12827,5,3,430.15000000000003,5,3,2,一般活躍
12828,2,6,1018.71,5,4,3,一般活躍
12829,336,3,385.3,2,3,2,一般流失
12830,37,6,6814.64,4,4,5,活躍 VIP
12831,261,3,451.11,2,3,2,一般流失
12832,31,2,383.03,4,2,2,潛力新客
12833,144,1,417.38,3,1,2,一般流失
12834,282,1,312.38,2,1,2,一般流失
12835,427,41,6043.31,1,5,5,沈睡 VIP
12836,58,15,6585.62,4,5,5,活躍 VIP
12837,172,2,688.41,3,2,3,一般流失
12838,33,10,3398.48,4,5,5,活躍 VIP
12839,2,26,10071.73,5,5,5,活躍 VIP
12840,143,7,4041.97,3,4,5,沈睡 VIP
12841,4,40,7540.68,5,5,5,活躍 VIP
12842,69,4,1917.99,3,3,4,一般活躍
12843,65,30,6588.41,3,5,5,活躍 VIP
12844,28,4,648.6,4,3,3,一般活躍
12845,266,4,354.09,2,3,2,一般流失
12846,681,1,15.58,1,1,1,一般流失
12847,21,2,1636.8999999999999,4,2,4,一般活躍
12848,675,1,208.0,1,1,1,一般流失
12849,30,6,3090.56,4,4,5,活躍 VIP
12850,445,1,330.0,1,1,2,一般流失
12851,96,2,284.13,3,2,1,一般流失
12852,294,1,311.55,2,1,2,一般流失
12853,134,11,3907.5,3,5,5,沈睡 VIP
12854,78,7,2994.02,3,4,5,活躍 VIP
12855,372,4,650.9399999999999,2,3,3,一般流失
12856,7,6,2179.93,5,4,4,活躍 VIP
12857,210,6,3688.0,2,4,5,沈睡 VIP
12858,382,1,177.92,2,1,1,一般流失
12859,458,1,575.1,1,1,2,一般流失
12860,692,1,55.47,1,1,1,一般流失
12861,619,1,68.25,1,1,1,一般流失
12862,425,2,1008.3199999999999,1,2,3,一般流失
12863,51,6,2792.5499999999997,4,4,4,活躍 VIP
12864,137,2,299.57,3,2,2,一般流失
12865,25,4,3323.47,4,3,5,一般活躍
12866,282,3,1227.35,2,3,3,一般流失
12867,25,13,7913.29,4,5,5,活躍 VIP
12868,185,8,2247.06,3,4,4,沈睡 VIP
12869,681,1,337.66999999999996,1,1,2,一般流失
12870,374,3,1676.95,2,3,4,一般流失
12871,83,3,744.02,3,3,3,一般活躍
12872,326,12,3685.4900000000002,2,5,5,沈睡 VIP
12873,281,3,2027.3,2,3,4,一般流失
12874,384,2,948.42,2,2,3,一般流失
12875,142,5,1356.99,3,4,4,沈睡 VIP
12876,57,4,4081.79,4,3,5,一般活躍
12877,3,20,2955.17,5,5,4,活躍 VIP
12878,235,2,854.99,2,2,3,一般流失
12879,44,3,573.22,4,3,2,一般活躍
12880,381,2,640.13,2,2,3,一般流失
12881,275,1,298.0,2,1,2,一般流失
12882,8,2,1463.04,5,2,4,一般活躍
12883,24,4,703.47,4,3,3,一般活躍
12884,87,1,309.05,3,1,2,潛力新客
12885,62,3,1175.22,3,3,3,一般活躍
12886,67,2,1378.4,3,2,4,一般活躍
12887,383,1,222.4,2,1,1,一般流失
12888,213,2,354.12,2,2,2,一般流失
12889,380,4,385.46000000000004,2,3,2,一般流失
12890,23,2,717.27,4,2,3,潛力新客
12891,185,11,840.5,3,5,3,一般流失
12892,396,1,263.38,2,1,1,一般流失
12893,30,1,188.14,4,1,1,潛力新客
12894,574,1,157.35,1,1,1,一般流失
12895,41,2,372.8,4,2,2,潛力新客
12897,204,4,514.25,2,3,2,一般流失
12898,463,2,310.96000000000004,1,2,2,一般流失
12899,413,1,366.4,1,1,2,一般流失
12900,421,1,340.33,1,1,2,一般流失
12901,8,28,17654.54,5,5,5,活躍 VIP
12902,264,1,138.68,2,1,1,一般流失
12903,428,1,833.53,1,1,3,一般流失
12904,17,2,509.58,5,2,2,潛力新客
12905,576,2,1018.42,1,2,3,一般流失
12906,11,5,2919.81,5,4,4,活躍 VIP
12907,395,2,508.91,2,2,2,一般流失
12908,175,5,1776.0,3,4,4,沈睡 VIP
12909,39,8,3103.19,4,4,5,活躍 VIP
12910,22,13,5796.52,4,5,5,活躍 VIP
12911,551,1,1680.47,1,1,4,一般流失
12912,2,5,1662.3,5,4,4,活躍 VIP
12913,4,13,6700.860000000001,5,5,5,活躍 VIP
12914,400,1,223.98,2,1,1,一般流失
12915,148,4,1174.75,3,3,3,一般流失
12916,138,7,4654.0199999999995,3,4,5,沈睡 VIP
12917,127,6,4359.2,3,4,5,沈睡 VIP
12919,7,6,1335.19,5,4,4,活躍 VIP
12920,16,4,488.09000000000003,5,3,2,一般活躍
12921,8,74,35921.04,5,5,5,活躍 VIP
12922,160,1,405.38,3,1,2,一般流失
12923,63,3,789.87,3,3,3,一般活躍
12924,87,12,2469.4,3,5,4,活躍 VIP
12925,4,3,729.3299999999999,5,3,3,一般活躍
12926,410,4,1548.46,1,3,4,一般流失
